timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-27 13:38:30,"$115,439.89",$2.3T,$59.61B,19.94M BTC,2.26% (24h),82%,18%
2025-10-27 08:26:10,"$115,258.99",$2.29T,$56.72B,19.94M BTC,1.5% (24h),82%,18%
2025-10-27 09:07:39,"$115,189.83",$2.29T,$57.01B,19.94M BTC,1.55% (24h),82%,18%
2025-10-27 09:41:21,"$114,724.01",$2.28T,$56.37B,19.94M BTC,0.93% (24h),82%,18%
2025-10-27 09:54:55,"$115,324.18",$2.29T,$57.22B,19.94M BTC,1.47% (24h),82%,18%
2025-10-27 10:14:41,"$114,765.11",$2.28T,$57.48B,19.94M BTC,0.88% (24h),82%,18%
2025-10-27 10:36:35,"$114,881.87",$2.29T,$57.45B,19.94M BTC,0.92% (24h),82%,18%
2025-10-27 10:47:53,"$114,903.67",$2.29T,$58.08B,19.94M BTC,0.95% (24h),82%,18%
2025-10-27 10:56:29,"$114,865.51",$2.28T,$58.22B,19.94M BTC,0.95% (24h),82%,18%
2025-10-27 11:15:44,"$115,011.30",$2.29T,$58.31B,19.94M BTC,1.3% (24h),82%,18%
2025-10-27 11:34:03,"$115,147.39",$2.29T,$60.51B,19.94M BTC,1.43% (24h),82%,18%
2025-10-27 11:47:09,"$114,969.73",$2.29T,$59.94B,19.94M BTC,1.29% (24h),82%,18%
2025-10-27 11:54:40,"$114,934.86",$2.29T,$60.15B,19.94M BTC,1.22% (24h),82%,18%
2025-10-27 12:17:05,"$115,320.21",$2.29T,$60.38B,19.94M BTC,1.75% (24h),82%,18%
2025-10-27 12:44:07,"$115,467.18",$2.3T,$60.91B,19.94M BTC,1.65% (24h),82%,18%
2025-10-27 12:59:15,"$115,512.13",$2.3T,$60.99B,19.94M BTC,1.72% (24h),82%,18%
2025-10-27 13:16:43,"$115,530.57",$2.3T,$61.96B,19.94M BTC,1.65% (24h),82%,18%
2025-10-27 13:33:24,"$115,424.66",$2.3T,$61.13B,19.94M BTC,1.56% (24h),82%,18%
2025-10-27 13:46:17,"$115,557.78",$2.3T,$62.18B,19.94M BTC,1.74% (24h),82%,18%
2025-10-27 13:54:26,"$115,588.28",$2.3T,$62.28B,19.94M BTC,1.82% (24h),82%,18%
2025-10-27 14:19:49,"$115,633.34",$2.3T,$61.65B,19.94M BTC,1.82% (24h),82%,18%
2025-10-27 14:46:28,"$115,496.64",$2.3T,$62.71B,19.94M BTC,1.59% (24h),82%,18%
2025-10-27 14:57:40,"$115,355.86",$2.3T,$61.78B,19.94M BTC,1.49% (24h),82%,18%
2025-10-27 15:12:05,"$115,171.73",$2.29T,$61.68B,19.94M BTC,1.42% (24h),82%,18%
2025-10-27 15:26:34,"$115,064.92",$2.29T,$61.89B,19.94M BTC,1.24% (24h),82%,18%
2025-10-27 15:35:15,"$114,840.90",$2.29T,$63.16B,19.94M BTC,1.05% (24h),82%,18%
2025-10-27 15:43:51,"$114,955.58",$2.29T,$62.48B,19.94M BTC,1.17% (24h),82%,18%
2025-10-27 15:54:07,"$114,854.02",$2.29T,$62.73B,19.94M BTC,1.12% (24h),82%,18%
2025-10-27 16:16:31,"$114,771.86",$2.28T,$63.09B,19.94M BTC,1.08% (24h),82%,18%
2025-10-27 16:33:55,"$114,721.31",$2.28T,$63.38B,19.94M BTC,1.1% (24h),82%,18%
2025-10-27 16:45:58,"$114,656.32",$2.28T,$63.43B,19.94M BTC,1.05% (24h),82%,18%
2025-10-27 16:54:28,"$114,641.80",$2.28T,$63.64B,19.94M BTC,1.06% (24h),82%,18%
2025-10-27 17:11:35,"$114,534.00",$2.28T,$63.8B,19.94M BTC,1% (24h),82%,18%
2025-10-27 17:30:44,"$114,172.16",$2.27T,$64.83B,19.94M BTC,0.95% (24h),82%,18%
2025-10-27 17:40:13,"$114,336.66",$2.27T,$64.04B,19.94M BTC,0.85% (24h),82%,18%
2025-10-27 17:46:41,"$114,364.22",$2.28T,$64.27B,19.94M BTC,0.82% (24h),82%,18%
2025-10-27 17:53:59,"$114,544.63",$2.28T,$65.11B,19.94M BTC,0.88% (24h),82%,18%
2025-10-27 18:12:51,"$114,471.42",$2.28T,$61.97B,19.94M BTC,0.12% (24h),82%,18%
2025-10-27 18:34:36,"$114,319.65",$2.27T,$61.98B,19.94M BTC,0.04% (24h),82%,18%
2025-10-27 18:46:22,"$114,174.53",$2.27T,$60.95B,19.94M BTC,0.37% (24h),82%,18%
2025-10-27 18:54:28,"$114,278.18",$2.27T,$60.83B,19.94M BTC,0.37% (24h),82%,18%
2025-10-27 19:12:12,"$114,090.89",$2.27T,$60.62B,19.94M BTC,0.36% (24h),82%,18%
2025-10-27 19:30:22,"$114,032.11",$2.27T,$60.64B,19.94M BTC,0.33% (24h),82%,18%
2025-10-27 19:39:12,"$114,120.35",$2.27T,$61.8B,19.94M BTC,0.46% (24h),82%,18%
2025-10-27 19:46:09,"$114,149.21",$2.27T,$60.87B,19.94M BTC,0.41% (24h),82%,18%
2025-10-27 19:54:13,"$114,159.43",$2.27T,$61.82B,19.94M BTC,0.32% (24h),82%,18%
2025-10-27 20:56:02,"$113,926.75",$2.27T,$58.54B,19.94M BTC,0.76% (24h),82%,18%
2025-10-27 22:24:58,"$113,984.84",$2.27T,$58.15B,19.94M BTC,0.98% (24h),82%,18%
2025-10-27 23:30:00,"$113,957.56",$2.27T,$59.11B,19.94M BTC,0.89% (24h),82%,18%
2025-10-27 23:54:11,"$113,897.43",$2.27T,$58.94B,19.94M BTC,0.92% (24h),82%,18%
2025-10-28 00:17:23,"$113,922.79",$2.27T,$57.89B,19.94M BTC,1.08% (24h),82%,18%
2025-10-28 00:39:06,"$113,921.25",$2.27T,$58.92B,19.94M BTC,1.13% (24h),82%,18%
2025-10-28 00:49:41,"$113,995.91",$2.27T,$58.95B,19.94M BTC,1.07% (24h),82%,18%
2025-10-28 00:57:08,"$113,998.29",$2.27T,$58.96B,19.94M BTC,1.07% (24h),82%,18%
2025-10-28 01:14:30,"$113,853.20",$2.27T,$58.82B,19.94M BTC,1.39% (24h),82%,18%
2025-10-28 01:36:20,"$113,861.19",$2.27T,$58.34B,19.94M BTC,1.4% (24h),82%,18%
2025-10-28 01:48:07,"$113,713.39",$2.26T,$58.21B,19.94M BTC,1.6% (24h),82%,18%
2025-10-28 01:55:35,"$113,573.01",$2.26T,$57.32B,19.94M BTC,1.69% (24h),82%,18%
2025-10-28 02:21:17,"$113,815.34",$2.26T,$57.27B,19.94M BTC,1.61% (24h),82%,18%
2025-10-28 02:49:23,"$114,018.09",$2.27T,$56.2B,19.94M BTC,1.63% (24h),82%,18%
2025-10-28 03:00:20,"$114,105.02",$2.27T,$55.32B,19.94M BTC,1.63% (24h),82%,18%
2025-10-28 03:20:50,"$114,201.90",$2.27T,$54.9B,19.94M BTC,1.5% (24h),82%,18%
2025-10-28 03:34:18,"$114,166.67",$2.27T,$53.68B,19.94M BTC,1.41% (24h),82%,18%
2025-10-28 03:45:47,"$114,249.29",$2.27T,$54.31B,19.94M BTC,1.18% (24h),82%,18%
2025-10-28 03:54:32,"$114,193.96",$2.27T,$53.28B,19.94M BTC,1.19% (24h),82%,18%
2025-10-28 04:18:34,"$114,168.30",$2.27T,$52.64B,19.94M BTC,1.14% (24h),82%,18%
2025-10-28 04:45:03,"$114,408.26",$2.28T,$50.96B,19.94M BTC,0.72% (24h),82%,18%
2025-10-28 04:59:12,"$114,410.84",$2.28T,$50.24B,19.94M BTC,0.5% (24h),82%,18%
2025-10-28 05:19:21,"$114,373.33",$2.28T,$50.21B,19.94M BTC,0.54% (24h),82%,18%
2025-10-28 05:37:04,"$114,318.41",$2.27T,$49.8B,19.94M BTC,0.79% (24h),82%,18%
2025-10-28 05:47:46,"$114,476.35",$2.28T,$49.55B,19.94M BTC,0.71% (24h),82%,18%
2025-10-28 05:55:47,"$114,525.53",$2.28T,$49.54B,19.94M BTC,0.64% (24h),82%,18%
2025-10-28 06:15:32,"$114,487.38",$2.28T,$48.32B,19.94M BTC,0.72% (24h),82%,18%
2025-10-28 06:40:18,"$114,440.38",$2.28T,$48.82B,19.94M BTC,0.89% (24h),82%,18%
2025-10-28 06:52:25,"$114,532.22",$2.28T,$48.78B,19.94M BTC,0.78% (24h),82%,18%
